order_id,method_code,paid_at,status,amount,external_receipt_no
10875,CARD,2026-01-17 21:58:00,PAID,19200.00,3-11297
10874,CARD,2026-01-17 21:56:00,PAID,27580.00,3-11296
10873,CARD,2026-01-17 21:33:00,PAID,16900.00,3-11295
10872,CARD,2026-01-17 21:10:00,PAID,23250.00,3-11294
10871,CARD,2026-01-17 20:40:00,PAID,17800.00,3-11293
10870,CARD,2026-01-17 20:38:00,PAID,21200.00,3-11292
10869,CARD,2026-01-17 20:29:00,PAID,45500.00,3-11291
10868,CARD,2026-01-17 20:00:00,PAID,41590.00,3-11290
10867,CARD,2026-01-17 20:00:00,PAID,2100.00,3-11289
10866,CARD,2026-01-17 19:55:00,PAID,29000.00,3-11288
10865,CARD,2026-01-17 19:44:00,PAID,22300.00,3-11287
10864,CARD,2026-01-17 18:43:00,PAID,15300.00,3-11286
10863,CARD,2026-01-17 17:07:00,PAID,14050.00,3-11285
10862,CARD,2026-01-16 22:06:00,PAID,18200.00,3-11284
10861,CARD,2026-01-16 20:27:00,PAID,1400.00,3-11283
10860,CASH,2026-01-16 16:27:00,PAID,1600.00,3-11282
10859,CARD,2026-01-15 23:07:00,PAID,3850.00,3-11281
10858,CARD,2026-01-15 22:18:00,PAID,28050.00,3-11280
10857,CARD,2026-01-15 22:16:00,PAID,1000.00,3-11279
10856,CARD,2026-01-15 22:15:00,PAID,11400.00,3-11278
10855,CARD,2026-01-15 22:09:00,PAID,13300.00,3-11277
10854,CARD,2026-01-15 21:58:00,PAID,20100.00,3-11276
10853,CARD,2026-01-15 21:42:00,PAID,17200.00,3-11275
10852,CARD,2026-01-15 18:59:00,PAID,13400.00,3-11274
10851,CARD,2026-01-15 17:31:00,PAID,10500.00,3-11273
10850,CARD,2026-01-14 21:02:00,PAID,17700.00,3-11272
10849,CARD,2026-01-14 20:38:00,PAID,10800.00,3-11271
10848,CARD,2026-01-14 20:18:00,PAID,16500.00,3-11270
10847,CARD,2026-01-14 19:48:00,PAID,37950.00,3-11269
10846,CARD,2026-01-14 19:35:00,PAID,25100.00,3-11268
10845,CARD,2026-01-14 19:11:00,PAID,24600.00,3-11267
